,train,val,test
C3N-02721-22,True,False,False
C3L-04744-25,True,False,False
C3N-02192-23,True,False,False
C3N-03420-21,True,False,False
C3L-02365-23,True,False,False
C3L-04033-25,True,False,False
C3L-02129-22,True,False,False
C3N-00217-26,True,False,False
C3L-04757-25,True,False,False
C3N-02916-26,True,False,False
C3N-00223-25,True,False,False
C3N-02144-21,True,False,False
C3L-02834-22,True,False,False
C3L-02834-21,True,False,False
C3N-02067-22,True,False,False
C3N-02728-22,True,False,False
C3N-04173-21,True,False,False
C3N-00552-24,True,False,False
C3L-04784-23,True,False,False
C3L-00893-23,True,False,False
C3N-02582-21,True,False,False
C3L-00412-26,True,False,False
C3N-02087-23,True,False,False
C3L-02219-22,True,False,False
C3L-01924-28,True,False,False
C3N-00549-21,True,False,False
C3L-02643-25,True,False,False
C3N-02141-24,True,False,False
C3L-03717-22,True,False,False
C3N-02422-22,True,False,False
C3L-02958-21,True,False,False
C3L-00893-25,True,False,False
C3N-02002-23,True,False,False
C3N-03054-23,True,False,False
C3L-03976-23,True,False,False
C3L-02219-26,True,False,False
C3N-01488-23,True,False,False
C3N-02421-21,True,False,False
C3L-03985-28,True,False,False
C3N-02587-21,True,False,False
C3L-01862-26,True,False,False
C3L-04033-21,True,False,False
C3L-00446-27,True,False,False
C3N-02142-26,True,False,False
C3L-04757-23,True,False,False
C3L-00279-21,True,False,False
C3N-03038-21,True,False,False
C3L-04033-27,True,False,False
C3N-01030-26,True,False,False
C3N-02087-22,True,False,False
C3N-02142-24,True,False,False
C3N-02721-21,True,False,False
C3N-02237-24,True,False,False
C3N-00578-23,True,False,False
C3N-00433-26,True,False,False
C3N-02758-23,True,False,False
C3L-02643-26,True,False,False
C3L-03985-26,True,False,False
C3L-03679-21,True,False,False
C3L-03985-23,True,False,False
C3L-00009-21,True,False,False
C3N-02290-29,True,False,False
C3N-01016-27,True,False,False
C3N-01488-21,True,False,False
C3L-00083-26,True,False,False
C3L-02616-23,True,False,False
C3N-02000-21,True,False,False
C3N-02231-24,True,False,False
C3N-01488-22,True,False,False
C3N-02003-21,True,False,False
C3N-00579-21,True,False,False
C3N-02920-23,True,False,False
C3N-02155-26,True,False,False
C3L-03463-27,True,False,False
C3N-02153-24,True,False,False
C3N-01405-21,True,False,False
C3N-02153-22,True,False,False
C3N-00578-21,True,False,False
C3N-02672-21,True,False,False
C3N-02973-21,True,False,False
C3L-02661-23,True,False,False
C3N-02158-22,True,False,False
C3L-00422-24,True,False,False
C3L-04376-27,True,False,False
C3L-02508-23,True,False,False
C3L-04376-21,True,False,False
C3N-01489-23,True,False,False
C3N-03225-21,True,False,False
C3N-00959-27,True,False,False
C3N-00223-28,True,False,False
C3L-03969-26,True,False,False
C3N-02828-23,True,False,False
C3N-01414-24,True,False,False
C3N-00572-27,True,False,False
C3L-02661-25,True,False,False
C3L-02957-23,True,False,False
C3L-03721-21,True,False,False
C3L-04370-23,True,False,False
C3N-02421-23,True,False,False
C3N-00738-21,True,False,False
C3N-02145-21,True,False,False
C3L-04376-26,True,False,False
C3L-00279-25,True,False,False
C3L-03985-27,True,False,False
C3N-02764-21,True,False,False
C3L-04757-27,True,False,False
C3L-04040-25,True,False,False
C3N-03205-22,True,False,False
C3N-04157-22,True,False,False
C3N-01072-22,True,False,False
C3N-00559-24,True,False,False
C3N-00552-27,True,False,False
C3N-01416-26,True,False,False
C3N-00167-24,True,False,False
C3L-03726-22,True,False,False
C3L-02169-22,True,False,False
C3N-03233-26,True,False,False
C3N-02158-21,True,False,False
C3L-00095-22,True,False,False
C3L-00913-26,True,False,False
C3N-00578-22,True,False,False
C3N-03210-22,True,False,False
C3L-00446-21,True,False,False
