,train,val,test
0,C3N-02721-22,C3N-02143-21,C3L-03976-28
1,C3L-04744-25,C3L-04086-26,C3L-03961-27
2,C3N-02192-23,C3N-03875-22,C3L-03969-23
3,C3N-03420-21,C3L-02834-23,C3N-02281-22
4,C3L-02365-23,C3L-04863-28,C3N-00293-22
5,C3L-04033-25,C3N-01023-22,C3L-04889-28
6,C3L-02129-22,C3N-02588-21,C3N-04169-29
7,C3N-00217-26,C3N-01415-22,C3L-04336-27
8,C3L-04757-25,C3N-03923-26,C3N-01411-26
9,C3N-02916-26,C3L-05393-22,C3L-05393-28
10,C3N-00223-25,C3L-05172-22,C3L-01682-24
11,C3N-02144-21,C3N-02764-22,C3N-01411-27
12,C3L-02834-22,C3L-04922-27,C3L-04912-21
13,C3L-02834-21,C3N-01074-22,C3N-02828-24
14,C3N-02067-22,C3N-01415-24,C3L-02618-28
15,C3N-02728-22,C3L-02549-22,C3L-04912-26
16,C3N-04173-21,C3L-04402-23,C3N-01071-22
17,C3N-00552-24,C3L-03969-24,C3L-05394-21
18,C3L-04784-23,C3N-02155-27,C3N-02451-26
19,C3L-00893-23,C3L-03268-24,C3L-04887-23
20,C3N-02582-21,C3N-02494-23,C3N-03921-26
21,C3L-00412-26,C3L-04378-21,C3L-04863-21
22,C3N-02087-23,C3L-00893-26,C3N-03204-23
23,C3L-02219-22,C3N-03225-22,C3N-02421-22
24,C3L-01924-28,C3N-02088-22,C3L-04781-22
25,C3N-00549-21,C3N-04609-23,C3N-03225-26
26,C3L-02643-25,C3N-04609-21,C3N-01018-23
27,C3N-02141-24,C3L-05393-25,C3L-03969-25
28,C3L-03717-22,C3N-02143-24,C3L-05423-28
29,C3N-02422-22,C3L-04872-21,C3L-04086-23
30,C3L-02958-21,C3N-02152-22,C3N-04155-22
31,C3L-00893-25,C3N-02234-24,C3N-03093-26
32,C3N-02002-23,C3L-05393-23,C3N-00572-24
33,C3N-03054-23,C3L-04037-25,C3L-04379-26
34,C3L-03976-23,C3N-01419-21,C3L-00001-26
35,C3L-02219-26,C3N-01021-21,C3N-00704-23
36,C3N-01488-23,C3L-00279-22,C3L-05427-28
37,C3N-02421-21,C3L-05176-23,C3N-02948-21
38,C3L-03985-28,C3N-00556-27,C3L-05392-23
39,C3N-02587-21,C3N-00217-21,C3N-05914-27
40,C3L-01862-26,C3N-02149-23,C3L-03717-21
41,C3L-04033-21,C3L-04874-26,C3N-01893-22
42,C3L-00446-27,C3L-03271-26,C3L-02616-26
43,C3N-02142-26,C3N-02923-22,C3L-00415-23
44,C3L-04757-23,C3L-04013-26,C3L-02358-23
45,C3L-00279-21,C3L-03362-30,C3N-00180-24
46,C3N-03038-21,C3N-04156-26,C3L-04361-24
47,C3L-04033-27,C3N-03913-26,C3L-00080-26
48,C3N-01030-26,C3L-04760-21,C3N-00175-22
49,C3N-02087-22,C3N-00432-23,C3L-02616-22
50,C3N-02142-24,C3N-01824-23,C3N-02237-26
51,C3N-02721-21,C3N-03228-22,C3L-05221-24
52,C3N-02237-24,C3N-03228-23,C3L-04759-26
53,C3N-00578-23,C3L-05527-21,C3L-03962-21
54,C3N-00433-26,C3L-01978-25,C3L-03678-22
55,C3N-02758-23,C3N-00149-22,C3N-01408-24
56,C3L-02643-26,C3L-00581-26,C3N-00551-27
57,C3L-03985-26,C3N-01091-21,C3N-02284-22
58,C3L-03679-21,C3N-01522-26,C3N-00546-24
59,C3L-03985-23,C3N-01214-22,C3L-04759-23
60,C3L-00009-21,C3L-02544-26,C3L-02624-28
61,C3N-02290-29,C3L-00970-24,C3L-05225-26
62,C3N-01016-27,C3L-00981-21,C3N-00169-26
63,C3N-01488-21,C3L-00982-23,C3L-04866-28
64,C3L-00083-26,C3L-01676-26,C3N-02375-22
65,C3L-02616-23,C3N-02248-24,C3N-02671-29
66,C3N-02000-21,C3N-01200-26,C3L-02513-21
67,C3N-02231-24,C3L-00789-21,C3L-00415-21
68,C3N-01488-22,C3L-00908-26,C3L-04792-22
69,C3N-02003-21,C3N-00244-26,C3L-04863-27
70,C3N-00579-21,C3N-02063-22,C3N-00551-24
71,C3N-02920-23,C3N-02070-23,C3L-04871-22
72,C3N-02155-26,C3L-02346-26,C3N-03225-23
73,C3L-03463-27,C3L-01288-23,C3N-02422-23
74,C3N-02153-24,C3L-02220-22,C3N-01074-26
75,C3N-01405-21,C3N-03019-25,C3N-02240-27
76,C3N-02153-22,C3N-04151-21,C3L-04921-26
77,C3N-00578-21,C3L-04791-23,C3N-02919-27
78,C3N-02672-21,C3L-00995-21,C3L-04031-21
79,C3N-02973-21,C3L-00999-26,C3N-00199-22
80,C3L-02661-23,C3N-03933-23,C3L-03987-21
81,C3N-02158-22,C3N-01620-25,C3N-02451-27
82,C3L-00422-24,C3L-02651-25,C3L-02654-22
83,C3L-04376-27,C3N-03028-21,C3N-02087-24
84,C3L-02508-23,C3N-00846-22,C3N-02193-26
85,C3L-04376-21,C3N-02713-21,C3L-04746-22
86,C3N-01489-23,C3L-00625-24,C3N-02433-23
87,C3N-03225-21,C3N-00957-26,C3L-00973-22
88,C3N-00959-27,C3N-02010-22,C3L-02650-29
89,C3N-00223-28,C3L-01037-21,C3L-00904-26
90,C3L-03969-26,C3L-01036-25,C3L-00444-28
91,C3N-02828-23,C3L-01702-21,C3N-03234-26
92,C3N-01414-24,C3L-02116-23,C3L-05781-21
93,C3N-00572-27,C3N-03430-22,C3N-01481-27
94,C3L-02661-25,C3L-03743-23,C3N-03913-22
95,C3L-02957-23,C3L-02899-21,C3L-00275-21
96,C3L-03721-21,C3L-03628-26,C3L-03364-22
97,C3L-04370-23,C3L-04027-24,C3L-03362-25
98,C3N-02421-23,C3L-02116-21,C3L-05517-21
99,C3N-00738-21,C3L-00625-23,C3N-00434-21
100,C3N-02145-21,C3L-04479-23,C3N-00220-23
101,C3L-04376-26,C3L-04492-25,C3N-00434-26
102,C3L-00279-25,C3L-02854-21,C3L-03382-21
103,C3L-03985-27,C3N-03914-21,C3N-03239-26
104,C3N-02764-21,C3L-02533-21,C3L-04212-28
105,C3L-04757-27,C3N-04164-22,C3N-00376-21
106,C3L-04040-25,C3N-00875-22,C3N-00220-24
107,C3N-03205-22,C3N-03221-21,C3L-00629-24
108,C3N-04157-22,C3L-01574-21,C3N-01533-23
109,C3N-01072-22,C3N-02598-21,C3L-03374-26
110,C3N-00559-24,C3L-00586-21,C3N-01989-24
111,C3N-00552-27,C3L-00157-26,C3N-00150-26
112,C3N-01416-26,C3L-02741-24,C3N-03019-22
113,C3N-00167-24,C3N-03417-21,C3N-01989-23
114,C3L-03726-22,C3L-01925-27,C3L-00097-21
115,C3L-02169-22,C3N-00337-24,C3N-01902-22
116,C3N-03233-26,C3L-01277-21,C3L-00360-22
117,C3N-02158-21,C3L-00137-22,C3N-01088-21
118,C3L-00095-22,C3L-01840-26,C3L-01869-21
119,C3L-00913-26,C3L-00139-22,C3N-00435-21
120,C3N-00578-22,C3L-00090-26,C3N-01081-22
121,C3N-03210-22,C3N-01342-21,C3N-00494-24
122,C3L-00446-21,C3L-00963-21,C3L-02364-22
123,C3L-00263-27,C3L-03594-22,C3L-01681-29
124,C3L-02834-26,C3N-00860-25,C3N-01083-24
125,C3N-01489-26,C3N-00328-25,C3N-01657-21
126,C3N-02149-24,C3L-01304-23,C3L-02208-22
127,C3N-03233-21,C3L-00898-27,C3N-02160-24
128,C3L-04370-22,C3N-01766-25,C3N-02439-23
129,C3N-01019-27,C3N-01825-23,C3N-00314-23
130,C3N-00704-21,C3N-01079-21,C3N-02160-27
131,C3L-02515-25,C3L-00356-23,C3N-00573-23
132,C3L-04784-21,C3L-00947-21,C3N-02945-23
133,C3N-02230-24,C3N-00661-24,C3L-00011-26
134,C3L-04365-28,C3N-02188-23,C3N-01808-22
